first_name,last_name,gender,employment_sector,personality_trait,salary,state
Cornie,Sharram,Male,finance,conscientiousness,255516,Virginia
Merry,Stolte,Male,technology,conscientiousness,242745,Virginia
Normy,Petrozzi,Male,education,extraversion,283361,Colorado
Brit,McMarquis,Male,hospitality,conscientiousness,263186,California
Carl,MacClancey,Male,healthcare,conscientiousness,437109,Arizona
Ned,Selcraig,Male,education,agreeableness,169451,Texas
Ferd,Sherwell,Male,education,agreeableness,374178,Texas
Rem,Scawen,Male,sales/marketing,agreeableness,407220,Florida
Inger,Rivelon,Bigender,finance,agreeableness,193615,Texas
Tine,Jambrozek,Female,technology,conscientiousness,398661,California
Tannie,Faithfull,Male,finance,conscientiousness,256941,Texas
Darice,Wickliffe,Female,hospitality,extraversion,315409,Washington
Karolina,Byrd,Female,hospitality,agreeableness,491006,Illinois
Rudyard,Fergyson,Male,finance,extraversion,335736,Massachusetts
Rheta,Lardez,Polygender,government,conscientiousness,443622,Florida
Sorcha,Myerscough,Female,government,extraversion,431448,Texas
Lucio,Pamphilon,Male,education,conscientiousness,398932,Minnesota
Cece,Nickerson,Male,education,conscientiousness,316583,Washington
Jori,Boosey,Female,hospitality,agreeableness,385386,Ohio
Christin,Lewsam,Female,technology,extraversion,159282,Minnesota
Thadeus,Kerwick,Male,healthcare,extraversion,258210,Pennsylvania
Brody,Pendle,Male,finance,conscientiousness,374770,Iowa
Meredith,Gail,Male,sales/marketing,extraversion,62512,California
Octavius,Offell,Male,finance,extraversion,223622,Texas
Andrej,Annesley,Male,hospitality,agreeableness,86798,Indiana
Frieda,Carlisle,Female,finance,conscientiousness,245833,Michigan
Harlene,Tenniswood,Female,technology,extraversion,272675,Tennessee
Jeannette,McHugh,Polygender,healthcare,conscientiousness,280848,Minnesota
Carlye,Fortey,Agender,education,conscientiousness,452703,Virginia
Kele,Enderle,Male,education,agreeableness,355377,Idaho
Demetris,Seal,Male,technology,conscientiousness,437760,Arizona
Georgi,Anglin,Male,sales/marketing,agreeableness,149103,Georgia
Tammy,Playle,Female,education,conscientiousness,198783,Texas
Rollin,Pinn,Male,technology,conscientiousness,288344,Pennsylvania
Gibby,Eayrs,Male,technology,extraversion,403471,California
Annie,Lamble,Female,sales/marketing,agreeableness,61672,Ohio
Torey,Slowey,Non-binary,education,conscientiousness,300626,Wyoming
Lucius,Topper,Male,technology,extraversion,338213,Michigan
Donalt,Mollett,Male,government,agreeableness,129868,Florida
Zeke,Fitchen,Male,healthcare,conscientiousness,178686,West Virginia
Christopher,Reggiani,Male,finance,conscientiousness,129951,Washington
Fransisco,McFetrich,Male,healthcare,extraversion,243873,Texas
Ban,Light,Genderfluid,technology,agreeableness,376628,District of Columbia
Locke,Buckmaster,Male,finance,conscientiousness,232047,Michigan
Etan,Gillingwater,Male,technology,extraversion,388433,California
Nelia,Forde,Female,hospitality,conscientiousness,61236,California
Alida,de Juares,Female,finance,conscientiousness,394746,California
Karla,Raybould,Female,technology,extraversion,224841,Massachusetts
Ardelia,Beaze,Female,sales/marketing,conscientiousness,350662,Virginia
Brigida,Braban,Female,hospitality,extraversion,64276,New York
Selby,Twitty,Male,technology,extraversion,262638,New York
Angil,Mallard,Female,hospitality,extraversion,348449,New York
Demetris,McWhirter,Female,sales/marketing,agreeableness,198444,Washington
Alasdair,Gavrieli,Male,finance,conscientiousness,223533,Florida
Kalil,Casetti,Male,hospitality,agreeableness,94255,Florida
Ruthie,Dolbey,Female,technology,conscientiousness,117157,Colorado
Val,McAnalley,Female,healthcare,extraversion,451795,Texas
Charmaine,Domm,Female,sales/marketing,conscientiousness,173735,Alaska
Barr,Brinkler,Non-binary,education,agreeableness,454853,California
Cristian,Starking,Male,finance,conscientiousness,300407,Washington
Ly,Zimmermanns,Male,finance,extraversion,329892,California
Pip,Bakhrushin,Male,sales/marketing,extraversion,388777,Ohio
Ursula,Burchess,Female,finance,agreeableness,115566,New Hampshire
Carlen,Gooley,Female,government,agreeableness,342975,Michigan
Loren,Stradling,Female,government,conscientiousness,175748,New York
Arlan,Lancastle,Male,finance,conscientiousness,328275,Mississippi
Anthe,Caret,Genderfluid,education,agreeableness,337103,Arizona
Nikola,Hansom,Male,healthcare,extraversion,300765,Florida
Jarvis,Morsley,Male,sales/marketing,conscientiousness,251635,Florida
Ronald,Powis,Male,finance,conscientiousness,247707,South Carolina
Corey,Forri,Female,government,conscientiousness,446174,Texas
Mariana,Sommerlie,Female,education,agreeableness,421257,New York
Alessandra,Jory,Genderqueer,education,conscientiousness,368447,California
Marys,Brame,Bigender,hospitality,agreeableness,94971,Texas
Bertrando,Morgan,Male,government,extraversion,228694,Virginia
Hanni,Wyse,Female,education,extraversion,366268,Texas
Eb,Rivenzon,Male,finance,extraversion,439165,Georgia
Kania,Stevani,Female,technology,conscientiousness,443976,Colorado
Dacie,Cossar,Female,sales/marketing,agreeableness,125820,Minnesota
Nickie,Pyle,Male,technology,extraversion,256807,Ohio
Laurie,Hancorn,Male,healthcare,extraversion,450864,Pennsylvania
Gene,Di Franceschi,Female,healthcare,agreeableness,196869,Virginia
Taddeusz,Shalloe,Male,government,agreeableness,493126,Tennessee
Bertina,Ubank,Female,education,agreeableness,335152,District of Columbia
Pate,Wysome,Male,sales/marketing,agreeableness,97423,Illinois
Patin,Adran,Male,education,extraversion,76951,Michigan
Steffane,Leyman,Female,hospitality,conscientiousness,451859,Alabama
Jillana,Hrinchenko,Female,sales/marketing,extraversion,133629,North Carolina
Dorine,Shorton,Female,hospitality,conscientiousness,71599,New York
Larissa,Pickrill,Female,hospitality,extraversion,147628,Ohio
Ambur,Twinbrow,Genderfluid,government,extraversion,447555,Alabama
Humfried,Hecks,Male,government,conscientiousness,277421,South Dakota
Eddi,Lightoller,Female,technology,agreeableness,375574,District of Columbia
Panchito,Espinas,Male,sales/marketing,extraversion,272579,Florida
Jock,Emblen,Male,sales/marketing,extraversion,174416,Iowa
Eben,Serrurier,Male,hospitality,extraversion,410413,Oklahoma
Rickey,Pickavance,Male,education,extraversion,53425,District of Columbia
Kori,Beevers,Female,sales/marketing,conscientiousness,206227,Connecticut
Rayner,Cona,Male,sales/marketing,extraversion,473020,Texas
Tiffanie,Chasteau,Female,technology,extraversion,79291,Arizona
Chase,Holdall,Male,sales/marketing,conscientiousness,323235,Tennessee
Lettie,Bagshawe,Female,education,agreeableness,357232,New York
Sansone,Clows,Male,technology,conscientiousness,315330,Ohio
Ade,Sainter,Male,finance,agreeableness,243470,District of Columbia
Raychel,Gori,Female,healthcare,conscientiousness,488558,Texas
Carrissa,Shilling,Female,hospitality,conscientiousness,296687,Indiana
Marcela,Norris,Female,finance,agreeableness,271185,North Carolina
Powell,Hawtry,Non-binary,healthcare,agreeableness,272565,Minnesota
Anabelle,Curley,Female,government,agreeableness,390598,Texas
Grannie,Breheny,Male,hospitality,agreeableness,124211,Pennsylvania
Nicolette,Buckley,Agender,government,conscientiousness,483495,Ohio
Tillie,Latchmore,Female,technology,agreeableness,197691,Florida
Rik,Gutierrez,Male,finance,conscientiousness,379219,Connecticut
Sibilla,Garfath,Female,sales/marketing,agreeableness,68909,Michigan
Heda,Grime,Female,sales/marketing,agreeableness,127993,Georgia
Helen-elizabeth,Cadge,Female,finance,extraversion,173256,Florida
Shaughn,Garlinge,Male,finance,extraversion,90420,Florida
Roobbie,Wolfers,Female,healthcare,conscientiousness,287757,Tennessee
Ainsley,Message,Female,hospitality,conscientiousness,178014,Missouri
Bailey,Rummins,Male,sales/marketing,extraversion,181596,Indiana
Kory,McElvogue,Male,education,extraversion,385457,Ohio
Stephen,Day,Male,government,agreeableness,230108,Colorado
Dene,Byre,Male,technology,extraversion,225404,California
Jorry,Gromley,Female,education,conscientiousness,115994,Florida
Raeann,Childes,Female,education,conscientiousness,310736,Tennessee
Udell,Jedrzejczak,Male,finance,conscientiousness,440995,Tennessee
Etheline,Pawling,Female,hospitality,conscientiousness,215346,District of Columbia
Tiffani,Saing,Female,finance,conscientiousness,446194,Colorado
Gaven,Pembry,Male,finance,agreeableness,377642,Utah
Thomasine,Tyer,Genderqueer,government,extraversion,264949,Kansas
Drugi,Lemanu,Male,education,extraversion,129225,New Mexico
Christoper,Odcroft,Male,education,agreeableness,358532,Florida
Abeu,Ashley,Male,technology,conscientiousness,499761,Tennessee
Gregorius,Newby,Male,government,extraversion,191915,Texas
Catlaina,Hackleton,Polygender,hospitality,agreeableness,222752,Illinois
Linea,Gledstane,Female,finance,extraversion,491525,Arizona
Maura,Espadater,Female,technology,conscientiousness,408719,New York
Danit,Comsty,Female,education,agreeableness,156650,Alabama
Rodolphe,Larwood,Male,technology,extraversion,432269,District of Columbia
Dixie,Kender,Female,technology,conscientiousness,246724,Washington
Gage,McLucky,Male,finance,agreeableness,218066,Kentucky
Magdalena,Hutchence,Female,technology,extraversion,461210,Tennessee
Darlleen,O'Leary,Female,technology,conscientiousness,278772,Utah
Burke,Sangwin,Male,finance,extraversion,416526,Florida
Rosemarie,Shermore,Female,education,agreeableness,196386,Arizona
Tiebold,Playfair,Male,healthcare,extraversion,213165,Texas
Sloane,Cordobes,Male,technology,conscientiousness,172336,Pennsylvania
Lamond,Brandino,Male,healthcare,extraversion,203502,Virginia
Matthaeus,Cousens,Genderqueer,finance,extraversion,460174,District of Columbia
Claybourne,Toward,Male,government,conscientiousness,275274,Florida
Guglielmo,Bealton,Male,hospitality,extraversion,155343,District of Columbia
Barbee,Stent,Female,government,extraversion,397746,New York
Maisie,Blaylock,Female,government,extraversion,367917,Connecticut
Nikolos,Baleine,Male,technology,extraversion,332058,California
Vinny,Beggan,Male,education,extraversion,246811,Iowa
Andonis,Fairrie,Male,hospitality,agreeableness,430961,Texas
Kristoforo,McKeating,Male,government,extraversion,250780,Minnesota
Cassie,Klimowicz,Female,education,conscientiousness,250931,Oregon
Chevy,Wyche,Genderfluid,finance,extraversion,57841,California
Sutherland,Buckmaster,Male,sales/marketing,conscientiousness,83688,Arizona
