first_name,last_name,sector,agreeableness,conscientiousness,extroversion,neuroticism,openness,salary
Quint,Balcon,government,3,3,2,3,3,51-100
Ianthe,Larkworthy,marketing,2,1,2,1,2,101-150
Lyn,Maymond,hospitality,2,3,3,3,2,101-150
Brittni,Brandli,marketing,1,1,2,1,1,151-250
Bambie,MacCourt,marketing,2,1,3,2,2,251-500
Brianna,Morican,agriculture,3,2,1,3,3,51-100
Tresa,Slaymaker,hospitality,2,2,1,3,2,101-150
Phineas,Gisburn,finance,3,2,2,3,1,51-100
Lorilee,Castagne,marketing,3,1,3,2,2,50
Windy,Grahame,government,3,2,2,2,2,51-100
Eli,Foard,government,2,3,1,1,3,50
Harrietta,Dowsett,marketing,2,1,3,1,2,51-100
Nathaniel,Greenhalf,finance,3,3,3,3,3,51-100
Dagmar,Kilsby,education,3,2,2,3,3,101-150
Jessamyn,Boken,healthcare,2,2,1,2,3,151-250
Jessa,Mowlam,education,3,2,3,3,1,51-100
Ham,Fronsek,education,2,3,3,3,3,101-150
Rafferty,Lugton,finance,2,2,1,2,3,50
Moll,Edmonston,marketing,1,3,1,3,1,151-250
Ramsey,Gateley,healthcare,1,2,3,3,3,151-250
Annabella,Westcar,healthcare,2,3,2,2,3,51-100
Alphard,Suttle,finance,1,1,3,3,2,101-150
Tracy,Thorbon,finance,1,1,1,2,2,101-150
Francklin,Sibthorpe,education,2,3,2,1,3,101-150
Perla,Cornbill,healthcare,3,1,2,2,1,51-100
Erroll,Brydell,hospitality,2,3,2,3,2,51-100
Aeriell,Eul,finance,3,2,1,2,1,101-150
Kerrie,Kanwell,hospitality,2,2,2,3,1,151-250
Lea,MacNeilage,healthcare,2,3,3,3,2,50
Goldy,Heffy,hospitality,1,1,1,2,1,101-150
Pattie,Laytham,government,1,2,2,3,1,51-100
Mabel,Killick,marketing,3,3,3,3,2,151-250
Koo,Jodlkowski,hospitality,2,3,3,3,2,51-100
Emilee,Mordon,hospitality,3,2,3,1,1,101-150
Rab,Jindacek,healthcare,1,1,2,2,3,50
Wallie,Brideaux,entertainment,2,1,3,1,1,251-500
Brien,Shire,finance,2,2,2,2,2,101-150
Geordie,Dumbar,marketing,2,2,1,2,3,50
Ailee,Ranyelld,hospitality,1,3,1,2,2,50
Tamara,Ballister,hospitality,1,2,3,2,1,101-150
Gigi,Habeshaw,finance,2,2,2,2,1,51-100
Paulina,Sinnott,hospitality,3,3,2,2,1,101-150
Thomasa,Sparks,government,2,1,1,1,2,101-150
Ana,Constantine,marketing,1,2,1,1,2,101-150
Lisle,Edds,education,1,2,3,3,2,101-150
Bjorn,Canny,education,3,2,2,3,2,101-150
Arlana,Gwatkin,marketing,3,1,3,2,3,101-150
Barbe,Jahnig,education,3,1,2,1,2,51-100
Ev,Shera,government,2,2,3,1,1,101-150
Seward,Stockwell,healthcare,2,3,2,2,1,50
Starla,Yablsley,finance,3,2,2,2,2,51-100
Rivy,Sicely,healthcare,3,1,3,2,2,50
Rhianna,Jerrom,healthcare,1,3,2,1,1,101-150
Merv,Trevett,entertainment,2,3,3,3,1,51-100
Rey,Le Grys,finance,1,2,3,2,1,101-150
Bartholemy,Ferries,healthcare,2,1,1,1,2,50
Hugues,Malsher,hospitality,1,2,1,2,1,50
Saloma,Coxhell,hospitality,2,2,3,3,1,50
Brandyn,Zylberdik,education,1,3,3,3,3,151-250
Tildi,Belt,government,3,3,2,2,1,51-100
Leslie,Browse,education,1,3,3,2,3,50
Rosabel,Joron,education,3,2,1,3,3,101-150
Hilda,Chagg,marketing,1,1,1,2,2,151-250
Page,MacScherie,finance,1,2,2,2,1,151-250
Jason,Odda,healthcare,1,1,2,3,1,101-150
Beret,Cumberbatch,hospitality,3,2,2,3,2,50
Neron,Creber,healthcare,1,3,2,2,1,50
Myrtia,Woollons,government,1,1,1,2,2,50
Fitzgerald,Allans,finance,3,2,1,2,2,101-150
Elsbeth,Gritsaev,finance,1,2,2,2,3,50
Nicolais,Gerault,healthcare,2,3,1,1,1,50
Ashlee,Paxman,government,1,2,2,2,2,151-250
Rickie,Maltby,marketing,3,3,1,3,3,151-250
Rodina,Leys,hospitality,1,2,1,1,2,151-250
Mikol,Keoghane,healthcare,3,1,2,2,2,51-100
Clarie,Krammer,healthcare,2,1,2,2,3,51-100
Elyn,Noni,government,3,3,1,1,2,51-100
Boone,Luppitt,hospitality,3,1,2,3,1,101-150
Geoff,Abatelli,education,2,3,3,3,3,50
Sasha,Hazelby,hospitality,3,3,2,3,1,51-100
Cchaddie,Shirt,government,2,3,2,1,3,50
Nicol,Pyffe,hospitality,3,2,3,1,2,151-250
Raynor,Abbott,education,3,3,3,3,3,50
Renell,Hensmans,hospitality,1,2,3,3,1,50
Katha,Rowthorn,finance,3,2,2,3,1,101-150
Syd,Zanuciolii,agriculture,1,2,3,3,3,50
Mannie,Gavagan,hospitality,1,2,2,3,1,251-500
Myrta,Tallis,agriculture,2,3,1,1,1,151-250
Maude,Shulver,marketing,1,3,3,2,2,101-150
Warren,Edney,healthcare,3,3,2,3,3,101-150
Nikolaus,Chorlton,education,3,3,3,3,3,51-100
Vassily,Rowbury,government,3,2,1,1,3,51-100
Valera,Bare,healthcare,1,3,3,2,2,101-150
Angelita,Dewhurst,education,2,3,2,3,3,101-150
Lloyd,Pingston,marketing,3,2,3,2,2,101-150
Marice,Cannings,government,1,3,3,3,2,50
Brandice,Brimman,marketing,2,1,1,2,2,251-500
Shoshanna,Dondon,hospitality,2,3,3,1,1,101-150
Kathryn,Feast,marketing,2,1,3,3,3,51-100
Patsy,Cathrae,education,1,2,2,3,2,101-150
Shayne,Chatterton,hospitality,1,3,2,3,3,101-150
Lexie,Nester,marketing,1,1,3,3,2,101-150
Cordula,McKue,government,1,3,2,1,1,151-250
Jarrad,Tyhurst,hospitality,2,3,2,3,1,50
Saloma,Killingbeck,agriculture,2,2,2,1,3,51-100
Dido,Dellenbrook,education,2,1,3,1,2,101-150
Rutledge,Broadfield,healthcare,3,3,3,3,2,51-100
Janifer,Feely,government,3,3,3,1,2,151-250
Oswell,Von Der Empten,marketing,2,1,3,1,2,51-100
Deirdre,Goodread,government,3,3,1,1,2,101-150
Joelly,Rishman,marketing,2,1,3,2,2,151-250
Kiri,Estcourt,hospitality,1,1,3,3,1,50
Aubrie,McDougal,finance,3,1,1,3,2,151-250
Basilio,Peyes,hospitality,3,3,3,2,2,101-150
